PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX
86580,2019-10-10,NVIDIA CORP,,183.03000,8186089,0.012838,183.00000,183.03000,0.012838
86580,2019-10-11,NVIDIA CORP,,185.99001,11200036,0.016172,185.95000,185.96001,0.016172
86580,2019-10-14,NVIDIA CORP,,186.53000,5256494,0.002903,186.53999,186.56000,0.002903
86580,2019-10-15,NVIDIA CORP,,196.37000,16696315,0.052753,196.36000,196.42999,0.052753
86580,2019-10-16,NVIDIA CORP,,194.21001,10815819,-0.011000,194.20000,194.21001,-0.011000
86580,2019-10-17,NVIDIA CORP,,194.28999,6606773,0.000412,194.28999,194.30000,0.000412
86580,2019-10-18,NVIDIA CORP,,190.49001,7688560,-0.019558,190.42000,190.48000,-0.019558
86580,2019-10-21,NVIDIA CORP,,196.00999,6671558,0.028978,196.00999,196.07001,0.028978
86580,2019-10-22,NVIDIA CORP,,195.61000,8426802,-0.002041,195.52000,195.57001,-0.002041
86580,2019-10-23,NVIDIA CORP,,195.09000,7141350,-0.002658,195.09000,195.12000,-0.002658
86580,2019-10-24,NVIDIA CORP,,196.86000,5973558,0.009073,196.77000,196.86000,0.009073
86580,2019-10-25,NVIDIA CORP,,204.53999,10574288,0.039012,204.50000,204.52000,0.039012
86580,2019-10-28,NVIDIA CORP,,206.78999,8267591,0.011000,206.70000,206.78999,0.011000
86580,2019-10-29,NVIDIA CORP,,202.92000,5280120,-0.018715,202.89000,202.91000,-0.018715
86580,2019-10-30,NVIDIA CORP,,203.00000,5148478,0.000394,203.02000,203.11000,0.000394
86580,2019-10-31,NVIDIA CORP,,201.02000,5240615,-0.009754,201.08000,201.13000,-0.009754
86580,2019-11-01,NVIDIA CORP,,202.59000,7087424,0.007810,202.73000,202.75000,0.007810
86580,2019-11-04,NVIDIA CORP,,210.50000,9415598,0.039044,210.55000,210.63000,0.039044
86580,2019-11-05,NVIDIA CORP,,209.61000,7516712,-0.004228,209.61000,209.64000,-0.004228
86580,2019-11-06,NVIDIA CORP,,207.63000,6724235,-0.009446,207.60001,207.62000,-0.009446
86580,2019-11-07,NVIDIA CORP,,208.34000,7005598,0.003420,208.39000,208.41000,0.003420
86580,2019-11-08,NVIDIA CORP,,207.78000,4734087,-0.002688,207.75999,207.78999,-0.002688
86580,2019-11-11,NVIDIA CORP,,208.17999,6092936,0.001925,208.12000,208.17999,0.001925
86580,2019-11-12,NVIDIA CORP,,209.61000,7094671,0.006869,209.56000,209.61000,0.006869
86580,2019-11-13,NVIDIA CORP,,208.57001,7556719,-0.004962,208.55000,208.57001,-0.004962
86580,2019-11-14,NVIDIA CORP,,209.78999,13172771,0.005849,209.80000,209.86000,0.005849
86580,2019-11-15,NVIDIA CORP,,204.19000,26342909,-0.026693,204.11000,204.13000,-0.026693
86580,2019-11-18,NVIDIA CORP,,212.28000,14381164,0.039620,212.27000,212.33000,0.039620
86580,2019-11-19,NVIDIA CORP,,207.99001,10382568,-0.020209,207.94000,207.99001,-0.020209
86580,2019-11-20,NVIDIA CORP,,211.17999,11824403,0.015337,211.17000,211.21001,0.015337
86580,2019-11-21,NVIDIA CORP,,210.17999,7208830,-0.004735,210.10001,210.17999,-0.004735
86580,2019-11-22,NVIDIA CORP,,210.89000,5598380,0.003378,210.81000,210.89999,0.003378
86580,2019-11-25,NVIDIA CORP,,221.21001,12682401,0.048935,221.20000,221.27000,0.048935
86580,2019-11-26,NVIDIA CORP,,217.00000,9641123,-0.019032,217.00000,217.10001,-0.019032
86580,2019-11-27,NVIDIA CORP,2019-11-29,218.24001,5409218,0.006452,218.20000,218.24001,0.005714
86580,2019-11-29,NVIDIA CORP,,216.74001,3538924,-0.006873,216.66000,216.73000,-0.006873
86580,2019-12-02,NVIDIA CORP,,209.25000,9313366,-0.034558,209.22000,209.23000,-0.034558
86580,2019-12-03,NVIDIA CORP,,207.66000,11811918,-0.007599,207.64999,207.67000,-0.007599
