PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX,ma20,ma60,signal,lagged_signal,buy_hold_position,strategy_return,buy_hold_return,trade,half_spread_one_way,one_way_total_cost,strategy_return_tc,buy_hold_equity,strategy_equity,strategy_equity_tc
86580,2020-10-02,NVIDIA CORP,,522.48999,13786400,-0.040563,522.45001,522.48999,-0.040563,501.52500224999994,375.4821682,1,1,1,-0.040563,-0.040563,0,3.825910616968386e-05,0.0007382591061696838,-0.040563,3.9345374360629424,3.311727001939417,3.3089065981023746
86580,2020-10-05,NVIDIA CORP,,545.70001,11971322,0.044422,545.5,545.70001,0.044422,503.96800225,377.3475682,1,1,1,0.044422,0.044422,0,0.00018326002962691922,0.0008832600296269192,0.044422,4.10931745804773,3.4588405388195698,3.455894847003278
86580,2020-10-06,NVIDIA CORP,,549.46002,19563940,0.00689,548.96002,549.38,0.00689,506.53950249999997,379.1139016,1,1,1,0.00689,0.00689,0,0.00038217521267517294,0.001082175212675173,0.00689,4.1376306553336795,3.482671950132037,3.4797059624991307
86580,2020-10-07,NVIDIA CORP,,558.56,10427113,0.016562,558.32001,558.56,0.016562,509.6535025,381.0157015333333,1,1,1,0.016562,0.016562,0,0.00021482920366650018,0.0009148292036665001,0.016562,4.206158094247316,3.5403519629701234,3.537336852650041
86580,2020-10-08,NVIDIA CORP,,553.54999,9444243,-0.00897,553.51001,553.78998,-0.00897,512.0520025,382.9324347333333,1,1,1,-0.00897,-0.00897,0,0.0002528859227330566,0.0009528859227330566,-0.00897,4.168428856141918,3.5085950058622815,3.50560694108177
86580,2020-10-09,NVIDIA CORP,,550.51001,8649260,-0.005492,550.51001,550.53998,-0.005492,514.37175275,384.9662348,1,1,1,-0.005492,-0.005492,0,2.722021348898675e-05,0.0007272202134889868,-0.005492,4.1455358448639865,3.4893258020900855,3.486354147761349
86580,2020-10-12,NVIDIA CORP,,569.03998,10840679,0.03366,568.71002,568.92999,0.03366,517.03375225,387.0193014,1,1,1,0.03366,0.03366,0,0.00019328167416284998,0.00089328167416285,0.03366,4.2850745814021085,3.606776508588438,3.603704828374996
86580,2020-10-13,NVIDIA CORP,,569.92999,8570963,0.001564,569.71002,569.92999,0.001564,518.9450017500001,389.17570133333334,1,1,1,0.001564,0.001564,0,0.00019297984301544594,0.0008929798430154459,0.001564,4.291776438047421,3.61241750704787,3.609341022726574
86580,2020-10-14,NVIDIA CORP,,563.81,6885442,-0.010738,563.56,563.83002,-0.010738,520.7795020000001,391.492368,1,1,1,-0.010738,-0.010738,0,0.00023946010180738637,0.0009394601018073863,-0.010738,4.245691342655668,3.57362736785719,3.570583918824536
86580,2020-10-15,NVIDIA CORP,,558.79999,6662403,-0.008886,558.78998,559.0,-0.008886,522.6110015,393.6121012666667,1,1,1,-0.008886,-0.008886,0,0.00018792054738582395,0.000887920547385824,-0.008886,4.20796412938483,3.541872115066411,3.5388557101218616
86580,2020-10-16,NVIDIA CORP,,552.46002,6054692,-0.011346,552.27002,552.46997,-0.011346,524.28150175,395.9858348,1,1,1,-0.011346,-0.011346,0,0.00018096332111049805,0.000880963321110498,-0.011346,4.16022056837283,3.501686034048868,3.498703853234819
86580,2020-10-19,NVIDIA CORP,,539.90997,7438728,-0.022717,539.90997,540.31,-0.022717,525.0957510000001,398.1367679333333,1,1,1,-0.022717,-0.022717,0,0.0003704599120478378,0.0010704599120478378,-0.022717,4.0657128377211045,3.42213823241338,3.4192237978008837
86580,2020-10-20,NVIDIA CORP,,545.82001,5713692,0.010946,545.5,545.82001,0.010946,526.0210012499999,400.4234346,1,1,1,0.010946,0.010946,0,0.00029314608674755693,0.000993146086747557,0.010946,4.110216130442799,3.4595969575053767,3.4566506214916117
86580,2020-10-21,NVIDIA CORP,,540.98999,5481351,-0.008849,540.97998,541.0,-0.008849,526.795751,402.6102345333333,1,1,1,-0.008849,-0.008849,0,1.85031150022249e-05,0.0007185031150022249,-0.008849,4.0738448279045105,3.4289829840284116,3.4260627201420326
86580,2020-10-22,NVIDIA CORP,,534.44,7251612,-0.012107,534.5,534.58002,-0.012107,527.38375075,404.80150119999996,1,1,1,-0.012107,-0.012107,0,7.486340842750395e-05,0.0007748634084275039,-0.012107,4.024522788573071,3.3874682870407797,3.384583378789273
86580,2020-10-23,NVIDIA CORP,,543.60999,5822844,0.017158,543.41998,543.60999,0.017158,528.3457505,407.0076344666667,1,1,1,0.017158,0.017158,0,0.00017476683973378536,0.0008747668397337853,0.017158,4.093575550579407,3.4455904679098253,3.4426560604025394
