PERMNO,date,COMNAM,RCRDDT,PRC,VOL,RET,BID,ASK,RETX,ma20,ma60,signal,lagged_signal,buy_hold_position,strategy_return,buy_hold_return,trade,half_spread_one_way,one_way_total_cost,strategy_return_tc,buy_hold_equity,strategy_equity,strategy_equity_tc,fold_id,selected_short,selected_long,wf_strategy_equity_tc,wf_buy_hold_equity
86580,2023-11-29,NVIDIA CORP,,481.39999,37995435,0.006671,481.17999,481.42999,0.006671,455.76650075,,0,0,1,0.0,0.006671,0,0.0002596593323568619,0.0009596593323568618,0.0,1.1376968033291592,1.0,1.0,5,40,150,1.8798863970437676,3.6698107707623793
86580,2023-11-30,NVIDIA CORP,,467.70001,52151121,-0.028459,467.70001,467.92001,-0.028459,456.448751,,0,0,1,-0.0,-0.028459,0,0.00023519349507814896,0.0009351934950781489,-0.0,1.1053190900032146,1.0,1.0,5,40,150,1.8798863970437676,3.5653716260372526
86580,2023-12-01,NVIDIA CORP,,467.64999,36501666,-0.000107,467.48001,467.54999,-0.000107,456.96800075,,0,0,1,-0.0,-0.000107,0,7.482091467593834e-05,0.0007748209146759384,-0.0,1.1052008208605844,1.0,1.0,5,40,150,1.8798863970437676,3.564990131273267
86580,2023-12-04,NVIDIA CORP,,455.10001,43403060,-0.026836,455.01001,455.13,-0.026836,456.90500099999997,,0,0,1,-0.0,-0.026836,0,0.00013182816673633225,0.0008318281667363323,-0.0,1.0755416516319698,1.0,1.0,5,40,150,1.8798863970437676,3.4693200561104174
86580,2023-12-05,NVIDIA CORP,2023-12-06,465.66,36895633,0.023292,465.73999,465.81,0.023204,457.22825075000003,,0,0,1,0.0,0.023292,0,7.517287291159298e-05,0.0007751728729115929,0.0,1.1005931677817817,1.0,1.0,5,40,150,1.8798863970437676,3.5501274588573417
86580,2023-12-06,NVIDIA CORP,,455.03,37804918,-0.022828,455.0,455.17001,-0.022828,457.1545005,,0,0,1,-0.0,-0.022828,0,0.0001868118585587661,0.0008868118585587661,-0.0,1.0754688269476593,1.0,1.0,5,40,150,1.8798863970437676,3.4690851492265464
86580,2023-12-07,NVIDIA CORP,,465.95999,34840245,0.02402,465.92001,465.98999,0.02402,457.10200024999995,,0,0,1,0.0,0.02402,0,7.509228421091136e-05,0.0007750922842109113,0.0,1.101301588170942,1.0,1.0,5,40,150,1.8798863970437676,3.552412574510968
86580,2023-12-08,NVIDIA CORP,,475.06,35691330,0.01953,475.07001,475.09,0.01953,457.24224999999996,,0,0,1,0.0,0.01953,0,2.1039447648665657e-05,0.0007210394476486657,0.0,1.1228100081879206,1.0,1.0,5,40,150,1.8798863970437676,3.6217911920911674
86580,2023-12-11,NVIDIA CORP,,466.26999,50518851,-0.018503,466.34,466.39999,-0.018503,457.53375000000005,,0,0,1,-0.0,-0.018503,0,6.432968160788937e-05,0.0007643296816078894,-0.0,1.1020346546064195,1.0,1.0,5,40,150,1.8798863970437676,3.554777189663904
86580,2023-12-12,NVIDIA CORP,,476.57001,36893758,0.02209,476.5,476.57001,0.02209,457.92425000000003,,0,0,1,0.0,0.02209,0,7.345195724760856e-05,0.0007734519572476085,0.0,1.1263786001266751,1.0,1.0,5,40,150,1.8798863970437676,3.6333022177835796
86580,2023-12-13,NVIDIA CORP,,480.88,44560904,0.009044,480.89001,481.0,0.009044,458.96175000000005,,0,0,1,0.0,0.009044,0,0.00011436325070701843,0.0008143632507070184,0.0,1.1365655681862208,1.0,1.0,5,40,150,1.8798863970437676,3.6661618030412146
86580,2023-12-14,NVIDIA CORP,,483.5,38856080,0.005448,483.39001,483.5,0.005448,460.50025025,,0,0,1,0.0,0.005448,0,0.00011374353671146024,0.0008137435367114602,0.0,1.1427575774016991,1.0,1.0,5,40,150,1.8798863970437676,3.686135052544183
86580,2023-12-15,NVIDIA CORP,,488.89999,47794691,0.011169,488.89999,489.44,0.011169,462.19749974999996,,0,0,1,0.0,0.011169,0,0.0005522704142415663,0.0012522704142415664,0.0,1.1555210367836988,1.0,1.0,5,40,150,1.8798863970437676,3.727305494946049
86580,2023-12-18,NVIDIA CORP,,500.76999,41046442,0.024279,500.76999,500.81,0.024279,464.3699995,,0,0,1,0.0,0.024279,0,3.994848013954991e-05,0.0007399484801395499,0.0,1.1835759320357702,1.0,1.0,5,40,150,1.8798863970437676,3.817800745057844
86580,2023-12-19,NVIDIA CORP,,496.04001,46153580,-0.009445,496.01999,496.13,-0.009445,466.02724975,,0,0,1,-0.0,-0.009445,0,0.00011088823258429133,0.0008108882325842913,-0.0,1.1723970573576923,1.0,1.0,5,40,150,1.8798863970437676,3.7817416170207725
86580,2023-12-20,NVIDIA CORP,,481.10999,39610600,-0.030098,481.10001,481.20001,-0.030098,467.1392495,,0,0,1,-0.0,-0.030098,0,0.00010392633917248604,0.000803926339172486,-0.0,1.1371102507253406,1.0,1.0,5,40,150,1.8798863970437676,3.6679187578316816
86580,2023-12-21,NVIDIA CORP,,489.89999,29893061,0.01827,489.82999,489.97,0.01827,468.941999,,0,0,1,0.0,0.01827,0,0.00014289651240860195,0.000842896512408602,0.0,1.1578852550060925,1.0,1.0,5,40,150,1.8798863970437676,3.7349316335372666
86580,2023-12-22,NVIDIA CORP,,488.29999,25110428,-0.003266,488.19,488.35001,-0.003266,471.0679985,,0,0,1,-0.0,-0.003266,0,0.00016384395174777678,0.0008638439517477768,-0.0,1.1541036017632427,1.0,1.0,5,40,150,1.8798863970437676,3.722733346822134
86580,2023-12-26,NVIDIA CORP,,492.79001,24313815,0.009195,492.79999,492.82001,0.009195,473.26274875,,0,0,1,0.0,0.009195,0,2.0312911781678572e-05,0.0007203129117816786,0.0,1.1647155843814558,1.0,1.0,5,40,150,1.8798863970437676,3.7569638799461638
86580,2023-12-27,NVIDIA CORP,,494.17001,23303170,0.0028,494.17001,494.22,0.0028,475.32674925000003,,0,0,1,0.0,0.0028,0,5.057975897812639e-05,0.0007505797589781264,0.0,1.1679767880177239,1.0,1.0,5,40,150,1.8798863970437676,3.7674833788100126
86580,2023-12-28,NVIDIA CORP,,495.22,24521346,0.002125,495.19,495.20999,0.002125,477.51224949999994,,0,0,1,0.0,0.002125,0,2.0182948992374152e-05,0.0007201829489923741,0.0,1.1704587386922614,1.0,1.0,5,40,150,1.8798863970437676,3.7754892809899836
86580,2023-12-29,NVIDIA CORP,,495.22,38725363,0.0,495.17001,495.26001,0.0,479.31149949999997,,0,0,1,0.0,0.0,0,9.086870481809279e-05,0.0007908687048180928,0.0,1.1704587386922614,1.0,1.0,5,40,150,1.8798863970437676,3.7754892809899836
86580,2024-01-02,NVIDIA CORP,,481.67999,40790139,-0.027341,481.73001,481.98001,-0.027341,480.47699925000006,,0,0,1,-0.0,-0.027341,0,0.00025950839269864626,0.0009595083926986463,-0.0,1.1384572263176762,1.0,1.0,5,40,150,1.8798863970437676,3.6722636285584365
86580,2024-01-03,NVIDIA CORP,,475.69,31898517,-0.012436,475.67999,475.92999,-0.012436,481.11799949999994,,0,0,1,-0.0,-0.012436,0,0.00026277617776282876,0.0009627761777628287,-0.0,1.1242993722511896,1.0,1.0,5,40,150,1.8798863970437676,3.6265953580736836
86580,2024-01-04,NVIDIA CORP,,479.98001,30422372,0.009018,479.92999,479.95001,0.009018,,,0,0,1,0.0,0.009018,0,2.085503519203331e-05,0.0007208550351920333,0.0,1.009018,1.0,1.0,6,20,120,1.8798863970437676,3.659299995012792
86580,2024-01-05,NVIDIA CORP,,490.97,41230152,0.022897,490.85001,490.89001,0.022897,,,0,0,1,0.0,0.022897,0,4.073568649817755e-05,0.0007407356864981775,0.0,1.0321214851459999,1.0,1.0,6,20,120,1.8798863970437676,3.7430869869985997
86580,2024-01-08,NVIDIA CORP,,522.53003,63799703,0.064281,522.54999,522.65002,0.064281,,,0,0,1,0.0,0.064281,0,9.57169868304609e-05,0.0007957169868304609,0.0,1.0984672863326699,1.0,1.0,6,20,120,1.8798863970437676,3.983696361609857
86580,2024-01-09,NVIDIA CORP,,531.40002,76698249,0.016975,531.29999,531.40997,0.016975,,,0,0,1,0.0,0.016975,0,0.00010348136607151814,0.0008034813660715181,0.0,1.117113768518167,1.0,1.0,6,20,120,1.8798863970437676,4.051319607348184
86580,2024-01-10,NVIDIA CORP,,543.5,53112251,0.02277,543.32001,543.51001,0.02277,,,0,0,1,0.0,0.02277,0,0.00017479300827961443,0.0008747930082796144,0.0,1.1425504490273255,1.0,1.0,6,20,120,1.8798863970437676,4.143568154807501
86580,2024-01-11,NVIDIA CORP,,548.21997,59396484,0.008684,548.19,548.34998,0.008684,,,0,0,1,0.0,0.008684,0,0.0001459085848331145,0.0008459085848331145,0.0,1.1524723571266786,1.0,1.0,6,20,120,1.8798863970437676,4.179550900663849
86580,2024-01-12,NVIDIA CORP,,547.09998,35211541,-0.002043,547.06,547.13,-0.002043,,,0,0,1,-0.0,-0.002043,0,6.39736817391677e-05,0.0007639736817391677,-0.0,1.1501178561010688,1.0,1.0,6,20,120,1.8798863970437676,4.171012078173793
86580,2024-01-16,NVIDIA CORP,,563.82001,44734748,0.030561,563.96997,564.03003,0.030561,,,0,0,1,0.0,0.030561,0,5.3261678314699505e-05,0.0007532616783146995,0.0,1.1852666079013736,1.0,1.0,6,20,120,1.8798863970437676,4.298482378294863
86580,2024-01-17,NVIDIA CORP,,560.53003,47136554,-0.005835,560.26001,560.65002,-0.005835,,,0,0,1,-0.0,-0.005835,0,0.0003478939388850182,0.0010478939388850182,-0.0,1.178350577244269,1.0,1.0,6,20,120,1.8798863970437676,4.273400733617512
86580,2024-01-18,NVIDIA CORP,,571.07001,48914678,0.018804,571.03003,571.12,0.018804,,,0,0,1,0.0,0.018804,0,7.877317879115546e-05,0.0007787731787911555,0.0,1.2005082814987704,1.0,1.0,6,20,120,1.8798863970437676,4.3537577610124565
86580,2024-01-19,NVIDIA CORP,,594.90997,54065666,0.041746,594.92999,595.0,0.041746,,,0,0,1,0.0,0.041746,0,5.8840836034421114e-05,0.0007588408360344212,0.0,1.2506247002182183,1.0,1.0,6,20,120,1.8798863970437676,4.535509732503683
86580,2024-01-22,NVIDIA CORP,,596.53998,45108429,0.00274,596.65002,596.72998,0.00274,,,0,0,1,0.0,0.00274,0,6.701981650912529e-05,0.0007670198165091253,0.0,1.2540514118968162,1.0,1.0,6,20,120,1.8798863970437676,4.547937029170742
86580,2024-01-23,NVIDIA CORP,,598.72998,29351962,0.003671,598.57001,598.71997,0.003671,,,0,0,1,0.0,0.003671,0,0.00012523174470064502,0.0008252317447006451,0.0,1.2586550346298895,1.0,1.0,6,20,120,1.8798863970437676,4.564632506004828
86580,2024-01-24,NVIDIA CORP,,613.62,55764613,0.024869,613.57001,613.84998,0.024869,,,0,0,1,0.0,0.024869,0,0.0002281297871646416,0.0009281297871646416,0.0,1.2899565266861002,1.0,1.0,6,20,120,1.8798863970437676,4.678150351796662
86580,2024-01-25,NVIDIA CORP,,616.16998,48014099,0.004156,616.40997,616.62,0.004156,,,0,0,1,0.0,0.004156,0,0.00017043186686891223,0.0008704318668689122,0.0,1.2953175860110078,1.0,1.0,6,20,120,1.8798863970437676,4.697592744658729
86580,2024-01-26,NVIDIA CORP,,610.31,39348891,-0.00951,610.07001,610.31,-0.00951,,,0,0,1,-0.0,-0.00951,0,0.0001966131965721688,0.0008966131965721688,-0.0,1.2829991157680432,1.0,1.0,6,20,120,1.8798863970437676,4.652918637657024
86580,2024-01-29,NVIDIA CORP,,624.65002,34739327,0.023496,624.72998,624.78998,0.023496,,,0,0,1,0.0,0.023496,0,4.8026893523559894e-05,0.0007480268935235599,0.0,1.313144462992129,1.0,1.0,6,20,120,1.8798863970437676,4.762243613967413
86580,2024-01-30,NVIDIA CORP,,627.73999,40895388,0.004947,627.51001,627.67999,0.004947,,,0,0,1,0.0,0.004947,0,0.0001353904504315629,0.0008353904504315629,0.0,1.3196405886505511,1.0,1.0,6,20,120,1.8798863970437676,4.78580243312571
86580,2024-01-31,NVIDIA CORP,,615.27002,45033613,-0.019865,614.92999,615.17999,-0.019865,,,0,0,1,-0.0,-0.019865,0,0.00020316283247475634,0.0009031628324747563,-0.0,1.293425928357008,1.0,1.0,6,20,120,1.8798863970437676,4.690732467791667
86580,2024-02-01,NVIDIA CORP,,630.27002,36725561,0.02438,630.15997,630.34998,0.02438,574.366501,,0,0,1,0.0,0.02438,0,0.0001507369809529538,0.0008507369809529538,0.0,1.324959652490352,1.0,1.0,6,20,120,1.8798863970437676,4.805092525356429
86580,2024-02-02,NVIDIA CORP,,661.59998,47420904,0.049709,661.48999,661.59003,0.049709,583.4474995,,0,0,1,0.0,0.049709,0,7.56045972068513e-05,0.0007756045972068513,0.0,1.390822071855995,1.0,1.0,6,20,120,1.8798863970437676,5.0439488696993715
86580,2024-02-05,NVIDIA CORP,,693.32001,67489419,0.047944,692.97998,693.31,0.047944,593.5649999999999,,0,0,1,0.0,0.047944,0,0.00023799976579356942,0.0009379997657935694,0.0,1.4575036452690588,1.0,1.0,6,20,120,1.8798863970437676,5.285775954308238
86580,2024-02-06,NVIDIA CORP,,682.22998,67674686,-0.015996,682.07001,682.40997,-0.015996,601.5499975,,0,0,1,-0.0,-0.015996,0,0.00024915351858329296,0.000949153518583293,-0.0,1.434189416959335,1.0,1.0,6,20,120,1.8798863970437676,5.201224682143123
